Habitat,Region,Terrain,SurveysDone,SpeciesCount,EndangeredSpecies,AreaSqKm,ProtectionCostMillions
Cedar Valley,North,Grassland,19,132,15,16,4.1
Willow Marsh,Coastal,Mountain,25,138,13,93,11.5
Fox Ridge,Coastal,Mountain,13,150,2,98,7.3
Eagle Flats,West,Grassland,12,85,17,111,12.3
Otter Creek,Coastal,Forest,23,56,10,38,3.0
Bison Prairie,Coastal,Grassland,8,167,7,53,6.6
Heron Bay,Coastal,Mountain,27,116,14,104,13.3
Lynx Hollow,West,Grassland,26,141,17,63,12.3
Moose Meadow,Coastal,Wetland,24,187,17,65,10.4
Raven Gorge,Coastal,Mountain,18,126,4,106,9.8
Elk Basin,West,Mountain,23,212,17,33,6.6
Beaver Slough,East,Mountain,25,206,4,100,3.7
Falcon Cliffs,South,Mountain,25,206,7,27,10.7
Bear Woods,West,Mountain,25,140,16,100,5.4
Wolf Pass,North,Mountain,23,181,9,57,14.5
Crane Lagoon,West,Mountain,28,156,16,47,3.7
Marten Grove,West,Wetland,17,42,1,71,14.1
Osprey Point,North,Wetland,13,151,13,114,10.4
Puma Canyon,East,Wetland,8,159,10,111,13.0
Ibis Shallows,South,Wetland,18,63,11,84,5.1
