Player,Team,Position,Games,PointsPerGame,ReboundsPerGame,AssistsPerGame,SalaryMillions
Alex Rivera,Coyotes,Guard,74,24.6,4.1,7.8,32.5
Jordan Blake,Thunderbirds,Forward,80,21.3,9.4,3.2,29.0
Sam Okafor,Coyotes,Center,68,15.2,11.8,1.9,24.4
Taylor Brooks,Thunderbirds,Guard,55,26.1,5.0,5.5,34.0
Reese Kapoor,Thunderbirds,Forward,73,18.0,8.1,3.7,19.5
Sky Martin,Falcons,Guard,45,20.4,3.9,5.0,16.0
Drew Hassan,Coyotes,Guard,78,9.8,2.7,4.6,7.4
Jamie Cole,Falcons,Guard,80,22.9,4.3,8.9,30.2
Quinn Adebayo,Ravens,Center,70,14.7,12.5,2.0,26.8
Morgan Silva,Ravens,Forward,81,17.4,7.2,2.8,18.9
